Index,File Name,Image Hash,Image URL,CID,Metadata URL ,Metadata CID,Token Tier,Body,Number Body Like Mine,Percent Body Like Mine,Face,Number Face Like Mine,Percent Face Like Mine,Choker,Number Choker Like Mine,Percent Choker Like Mine,Lower_Accessory,Number Lower_Accessory Like Mine,Percent Lower_Accessory Like Mine,Outfit,Number Outfit Like Mine,Percent Outfit Like Mine,Oral_Fixation,Number Oral_Fixation Like Mine,Percent Oral_Fixation Like Mine,Headgear,Number Headgear Like Mine,Percent Headgear Like Mine,Left_Hand,Number Left_Hand Like Mine,Percent Left_Hand Like Mine,Right_Hand,Number Right_Hand Like Mine,Percent Right_Hand Like Mine,Both_Hands,Number Both_Hands Like Mine,Percent Both_Hands Like Mine
1,01.png,487f19b1cfdd6eacaa38550eaaca1dcbf7af061531dbd9e15031781af35c55bf,https://gateway.pinata.cloud/ipfs/bafybeifaovueofd23uxedvnlt4d4oosw4uzhr3dnnqlca7cuvzazhf7bna/01.png,bafybeifaovueofd23uxedvnlt4d4oosw4uzhr3dnnqlca7cuvzazhf7bna,,,,Yellow,54,90,Eye Mouth,52,86.66666666666667,Choker,51,85,Black Shoes,51,85,No Outfit,5,8.333333333333334,Nothing,59,98.33333333333333,No Hat,10,16.666666666666668,Nothing,52,86.66666666666667,Nothing,43,71.66666666666667,Nothing,60,100
2,02.png,5d066ecd2b5d6fc57b6c96c2b78670692ff224ce3be3aa893bd60bfee1ef8552,https://gateway.pinata.cloud/ipfs/bafybeifaovueofd23uxedvnlt4d4oosw4uzhr3dnnqlca7cuvzazhf7bna/02.png,bafybeifaovueofd23uxedvnlt4d4oosw4uzhr3dnnqlca7cuvzazhf7bna,,,,Yellow,54,90,Eye Mouth,52,86.66666666666667,Choker,51,85,Black Shoes,51,85,No Outfit,5,8.333333333333334,Nothing,59,98.33333333333333,Clown,1,1.6666666666666667,Nothing,52,86.66666666666667,Lollipop,1,1.6666666666666667,Nothing,60,100
3,03.png,87f91c2a527b687689f9adfa27b62585ab828edfd8c39cc341d1f44259049dd5,https://gateway.pinata.cloud/ipfs/bafybeifaovueofd23uxedvnlt4d4oosw4uzhr3dnnqlca7cuvzazhf7bna/03.png,bafybeifaovueofd23uxedvnlt4d4oosw4uzhr3dnnqlca7cuvzazhf7bna,,,,Yellow,54,90,Eye Mouth,52,86.66666666666667,Choker,51,85,Black Shoes,51,85,Chef,1,1.6666666666666667,Nothing,59,98.33333333333333,Chef Hat,1,1.6666666666666667,Nothing,52,86.66666666666667,Butcher Knife,1,1.6666666666666667,Nothing,60,100
4,04.png,0c8c49f04fd0e4355cd00d5825411979f23c64873f5a7228f9d054fbb21d1b3f,https://gateway.pinata.cloud/ipfs/bafybeifaovueofd23uxedvnlt4d4oosw4uzhr3dnnqlca7cuvzazhf7bna/04.png,bafybeifaovueofd23uxedvnlt4d4oosw4uzhr3dnnqlca7cuvzazhf7bna,,,,Yellow,54,90,Eye Mouth,52,86.66666666666667,Choker,51,85,Sandals,1,1.6666666666666667,Surfer T-shirt,1,1.6666666666666667,Nothing,59,98.33333333333333,No Hat,10,16.666666666666668,Surf Board,1,1.6666666666666667,Nothing,43,71.66666666666667,Nothing,60,100
5,05.png,d446bd7af31344b263d839ea85702a3d46040fb7045e1a017c09f3e3ada928df,https://gateway.pinata.cloud/ipfs/bafybeifaovueofd23uxedvnlt4d4oosw4uzhr3dnnqlca7cuvzazhf7bna/05.png,bafybeifaovueofd23uxedvnlt4d4oosw4uzhr3dnnqlca7cuvzazhf7bna,,,,Yellow,54,90,Eye Mouth,52,86.66666666666667,Choker,51,85,Black Shoes,51,85,Farmer,1,1.6666666666666667,Mouthstraw,1,1.6666666666666667,Farmer,1,1.6666666666666667,Nothing,52,86.66666666666667,Nothing,43,71.66666666666667,Nothing,60,100
6,06.png,95d8a3e31e6a8fd2ed73b0e7e91f4f873413c819c932e9d8e24fd9b17ab0e02e,https://gateway.pinata.cloud/ipfs/bafybeifaovueofd23uxedvnlt4d4oosw4uzhr3dnnqlca7cuvzazhf7bna/06.png,bafybeifaovueofd23uxedvnlt4d4oosw4uzhr3dnnqlca7cuvzazhf7bna,,,,Pink,2,3.3333333333333335,Eye Mouth,52,86.66666666666667,Choker,51,85,Black Shoes,51,85,Pink Girl,1,1.6666666666666667,Nothing,59,98.33333333333333,Brown Hair,1,1.6666666666666667,Nothing,52,86.66666666666667,Nothing,43,71.66666666666667,Nothing,60,100
7,07.png,7d72eb8fc8bf4e0e41c283480d261335e676591cd4eb3f2ebe08109502687781,https://gateway.pinata.cloud/ipfs/bafybeifaovueofd23uxedvnlt4d4oosw4uzhr3dnnqlca7cuvzazhf7bna/07.png,bafybeifaovueofd23uxedvnlt4d4oosw4uzhr3dnnqlca7cuvzazhf7bna,,,,Yellow,54,90,Peach Face,1,1.6666666666666667,Choker,51,85,No Shoes,5,8.333333333333334,Princess Peach,1,1.6666666666666667,Nothing,59,98.33333333333333,Peach,1,1.6666666666666667,Nothing,52,86.66666666666667,Nothing,43,71.66666666666667,Nothing,60,100
8,08.png,0cb2eff0a6eb7a9bd174a59206d2585c725788164ca90966ec1a45aa6178d5ff,https://gateway.pinata.cloud/ipfs/bafybeifaovueofd23uxedvnlt4d4oosw4uzhr3dnnqlca7cuvzazhf7bna/08.png,bafybeifaovueofd23uxedvnlt4d4oosw4uzhr3dnnqlca7cuvzazhf7bna,,,,Yellow,54,90,Eye Mouth,52,86.66666666666667,Choker,51,85,Black Shoes,51,85,Pink Dress,1,1.6666666666666667,Nothing,59,98.33333333333333,Pink Hat,1,1.6666666666666667,Nothing,52,86.66666666666667,Nothing,43,71.66666666666667,Nothing,60,100
9,09.png,e8973fc1bacb4fe728e8476d1ad961380b04840c46047a37a052c0ea731d12de,https://gateway.pinata.cloud/ipfs/bafybeifaovueofd23uxedvnlt4d4oosw4uzhr3dnnqlca7cuvzazhf7bna/09.png,bafybeifaovueofd23uxedvnlt4d4oosw4uzhr3dnnqlca7cuvzazhf7bna,,,,Green,3,5,Eye Mouth,52,86.66666666666667,Choker,51,85,Black Shoes,51,85,Guardians of Gaalaxy's Gamora,1,1.6666666666666667,Nothing,59,98.33333333333333,Red Hair,1,1.6666666666666667,Nothing,52,86.66666666666667,Nothing,43,71.66666666666667,Nothing,60,100
10,10.png,9c44052830984e7dba1ab9ab76c5d26c46bbf1931c3b0dd27a39e831a47a9e76,https://gateway.pinata.cloud/ipfs/bafybeifaovueofd23uxedvnlt4d4oosw4uzhr3dnnqlca7cuvzazhf7bna/10.png,bafybeifaovueofd23uxedvnlt4d4oosw4uzhr3dnnqlca7cuvzazhf7bna,,,,Green,3,5,Eye Mouth,52,86.66666666666667,Choker,51,85,Black Shoes,51,85,The Mask,1,1.6666666666666667,Nothing,59,98.33333333333333,The Mask Hat,1,1.6666666666666667,Nothing,52,86.66666666666667,Nothing,43,71.66666666666667,Nothing,60,100
