Trait Type,Trait Value,Enforced Rarity,Count,Actual Rarity
Body,Yellow,100,54,90
Body,Pink,100,2,3.3333333333333335
Body,Green,100,3,5
Body,Red,100,1,1.6666666666666667
Face,Eye Mouth,100,52,86.66666666666667
Face,Peach Face,100,1,1.6666666666666667
Face,Harley Quinn,100,2,3.3333333333333335
Face,Alien,100,1,1.6666666666666667
Face,Bunny Eyes,100,1,1.6666666666666667
Face,Wonder Woman,100,1,1.6666666666666667
Face,No Face,100,1,1.6666666666666667
Face,Buddha Face,100,1,1.6666666666666667
Choker,Choker,100,51,85
Choker,No Choker,100,8,13.333333333333334
Choker,Christmas Lights,100,1,1.6666666666666667
Lower Accessory,Black Shoes,100,51,85
Lower Accessory,Sandals,100,1,1.6666666666666667
Lower Accessory,No Shoes,100,5,8.333333333333332
Lower Accessory,Robinhood Boots,100,1,1.6666666666666667
Lower Accessory,Christmas Boots,100,1,1.6666666666666667
Lower Accessory,Wonder Shoes,100,1,1.6666666666666667
Outfit,No Outfit,100,5,8.333333333333332
Outfit,Chef,100,1,1.6666666666666667
Outfit,Surfer T-shirt,100,1,1.6666666666666667
Outfit,Farmer,100,1,1.6666666666666667
Outfit,Pink Girl,100,1,1.6666666666666667
Outfit,Princess Peach,100,1,1.6666666666666667
Outfit,Pink Dress,100,1,1.6666666666666667
Outfit,Guardians of Gaalaxy's Gamora,100,1,1.6666666666666667
Outfit,The Mask,100,1,1.6666666666666667
Outfit,Fisherman Vest,100,1,1.6666666666666667
Outfit,Dorthy,100,1,1.6666666666666667
Outfit,Vampire Girl,100,1,1.6666666666666667
Outfit,Robinhood,100,1,1.6666666666666667
Outfit,Punk,100,1,1.6666666666666667
Outfit,Sakura,100,1,1.6666666666666667
Outfit,Smalls,100,1,1.6666666666666667
Outfit,Banana Givi,100,1,1.6666666666666667
Outfit,Rave,100,1,1.6666666666666667
Outfit,Hannible Lector,100,1,1.6666666666666667
Outfit,Deadpool,100,1,1.6666666666666667
Outfit,Chokha,100,1,1.6666666666666667
Outfit,Dolly,100,1,1.6666666666666667
Outfit,Astronaut,100,1,1.6666666666666667
Outfit,Musketeer,100,1,1.6666666666666667
Outfit,Witchbelt,100,1,1.6666666666666667
Outfit,Assasin,100,1,1.6666666666666667
Outfit,Jesus,100,1,1.6666666666666667
Outfit,Pirate,100,1,1.6666666666666667
Outfit,Elf,100,1,1.6666666666666667
Outfit,Naruto,100,1,1.6666666666666667
Outfit,Pharaoh,100,1,1.6666666666666667
Outfit,Smoking,100,1,1.6666666666666667
Outfit,Batman,100,1,1.6666666666666667
Outfit,Mario,100,1,1.6666666666666667
Outfit,Geisha,100,1,1.6666666666666667
Outfit,Boba Fett,100,1,1.6666666666666667
Outfit,Tinkerbell,100,1,1.6666666666666667
Outfit,Iron Man,100,1,1.6666666666666667
Outfit,Professor,100,1,1.6666666666666667
Outfit,Kill Bill,100,1,1.6666666666666667
Outfit,Shiningbody,100,1,1.6666666666666667
Outfit,Samurai,100,1,1.6666666666666667
Outfit,Obiwan,100,1,1.6666666666666667
Outfit,Spock,100,1,1.6666666666666667
Outfit,Harley Quinn,100,1,1.6666666666666667
Outfit,Playboy,100,1,1.6666666666666667
Outfit,Princess Leia,100,1,1.6666666666666667
Outfit,Vampire,100,1,1.6666666666666667
Outfit,Jinx,100,1,1.6666666666666667
Outfit,Cyberpunk,100,1,1.6666666666666667
Outfit,Wonder Woman Dress,100,1,1.6666666666666667
Outfit,Harry Potter,100,1,1.6666666666666667
Outfit,Satan,100,1,1.6666666666666667
Outfit,Cowboy,100,1,1.6666666666666667
Outfit,Dr.Manhattan,100,1,1.6666666666666667
Outfit,Tao of Banana Buddha Robe,100,1,1.6666666666666667
Oral Fixation,Nothing,100,59,98.33333333333333
Oral Fixation,Mouthstraw,100,1,1.6666666666666667
Headgear,No Hat,100,10,16.666666666666664
Headgear,Clown,100,1,1.6666666666666667
Headgear,Chef Hat,100,1,1.6666666666666667
Headgear,Farmer,100,1,1.6666666666666667
Headgear,Brown Hair,100,1,1.6666666666666667
Headgear,Peach,100,1,1.6666666666666667
Headgear,Pink Hat,100,1,1.6666666666666667
Headgear,Red Hair,100,1,1.6666666666666667
Headgear,The Mask Hat,100,1,1.6666666666666667
Headgear,Fisherman,100,1,1.6666666666666667
Headgear,Dorthy,100,1,1.6666666666666667
Headgear,Robinhood Hat,100,1,1.6666666666666667
Headgear,Viking,100,1,1.6666666666666667
Headgear,Headphones,100,1,1.6666666666666667
Headgear,Sakura,100,1,1.6666666666666667
Headgear,Green Cap,100,1,1.6666666666666667
Headgear,Raggae,100,1,1.6666666666666667
Headgear,Rave Glasses,100,1,1.6666666666666667
Headgear,Hannible Lector,100,1,1.6666666666666667
Headgear,Blondie,100,1,1.6666666666666667
Headgear,Astronaut Helmet,100,1,1.6666666666666667
Headgear,Feather Hat,100,1,1.6666666666666667
Headgear,Witchcraft,100,1,1.6666666666666667
Headgear,Assassin Headgear,100,1,1.6666666666666667
Headgear,Jesus,100,1,1.6666666666666667
Headgear,Pirate,100,1,1.6666666666666667
Headgear,Elf,100,1,1.6666666666666667
Headgear,Narutohead,100,1,1.6666666666666667
Headgear,Pharaoh,100,1,1.6666666666666667
Headgear,Smoking Glasses,100,1,1.6666666666666667
Headgear,Batman,100,1,1.6666666666666667
Headgear,Mario,100,1,1.6666666666666667
Headgear,Geisha,100,1,1.6666666666666667
Headgear,Boba,100,1,1.6666666666666667
Headgear,Tinkerbell,100,1,1.6666666666666667
Headgear,Ironman Helmet,100,1,1.6666666666666667
Headgear,Professor,100,1,1.6666666666666667
Headgear,Kill Bill,100,1,1.6666666666666667
Headgear,Shining,100,1,1.6666666666666667
Headgear,Samurai Ribbon,100,1,1.6666666666666667
Headgear,Obiwan,100,1,1.6666666666666667
Headgear,Spock,100,1,1.6666666666666667
Headgear,Harley Quinn,100,1,1.6666666666666667
Headgear,Playboy,100,1,1.6666666666666667
Headgear,Princess Leia,100,1,1.6666666666666667
Headgear,Vampire,100,1,1.6666666666666667
Headgear,Jinx Hair,100,1,1.6666666666666667
Headgear,Cyberpunk Glasses,100,1,1.6666666666666667
Headgear,Wonder Woman,100,1,1.6666666666666667
Headgear,Harry Potter,100,1,1.6666666666666667
Headgear,Cowboy Hat,100,1,1.6666666666666667
Left Hand,Nothing,100,52,86.66666666666667
Left Hand,Surf Board,100,1,1.6666666666666667
Left Hand,Viking Shield,100,1,1.6666666666666667
Left Hand,Holy Wine,100,1,1.6666666666666667
Left Hand,Pirate Sword,100,1,1.6666666666666667
Left Hand,Samurai Katana,100,1,1.6666666666666667
Left Hand,Shark v2,100,1,1.6666666666666667
Left Hand,Cyberpunk Weapon,100,1,1.6666666666666667
Left Hand,Pitchfork,100,1,1.6666666666666667
Right Hand,Nothing,100,43,71.66666666666667
Right Hand,Lollipop,100,1,1.6666666666666667
Right Hand,Butcher Knife,100,1,1.6666666666666667
Right Hand,Fishing Pole,100,1,1.6666666666666667
Right Hand,Dorthy Basket,100,1,1.6666666666666667
Right Hand,Robinhood Dagger,100,1,1.6666666666666667
Right Hand,Viking Axe,100,1,1.6666666666666667
Right Hand,Dagger,100,1,1.6666666666666667
Right Hand,Musketeer Rapier,100,1,1.6666666666666667
Right Hand,Witchbroom,100,1,1.6666666666666667
Right Hand,Christmas Lights,100,1,1.6666666666666667
Right Hand,Anch,100,1,1.6666666666666667
Right Hand,Wagasa,100,1,1.6666666666666667
Right Hand,Katana,100,1,1.6666666666666667
Right Hand,Lightsaber,100,1,1.6666666666666667
Right Hand,Harley,100,1,1.6666666666666667
Right Hand,Wonder Woman,100,1,1.6666666666666667
Right Hand,Pistol,100,1,1.6666666666666667
Both Hands,Nothing,100,60,100
