token_id,symbol,name,url
1,veJBX-001,Juicebox's Governance Token No. 001,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/1.json
2,veJBX-002,Juicebox's Governance Token No. 002,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/2.json
3,veJBX-003,Juicebox's Governance Token No. 003,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/3.json
4,veJBX-004,Juicebox's Governance Token No. 004,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/4.json
5,veJBX-005,Juicebox's Governance Token No. 005,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/5.json
6,veJBX-006,Juicebox's Governance Token No. 006,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/6.json
7,veJBX-007,Juicebox's Governance Token No. 007,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/7.json
8,veJBX-008,Juicebox's Governance Token No. 008,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/8.json
9,veJBX-009,Juicebox's Governance Token No. 009,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/9.json
10,veJBX-010,Juicebox's Governance Token No. 010,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/10.json
11,veJBX-011,Juicebox's Governance Token No. 011,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/11.json
12,veJBX-012,Juicebox's Governance Token No. 012,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/12.json
13,veJBX-013,Juicebox's Governance Token No. 013,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/13.json
14,veJBX-014,Juicebox's Governance Token No. 014,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/14.json
15,veJBX-015,Juicebox's Governance Token No. 015,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/15.json
16,veJBX-016,Juicebox's Governance Token No. 016,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/16.json
17,veJBX-017,Juicebox's Governance Token No. 017,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/17.json
18,veJBX-018,Juicebox's Governance Token No. 018,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/18.json
19,veJBX-019,Juicebox's Governance Token No. 019,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/19.json
20,veJBX-020,Juicebox's Governance Token No. 020,https://gateway.pinata.cloud/ipfs/bafybeif3utiak6hgqtr4ftkag72g2uekddybbrtsqiv3n7uziggdeemeza/20.json
21,veJBX-021,Juicebox's Governance Token No. 021,https://gateway.pinata.cloud/ipfs/bafybeicxqi42j6d5bdd5awbxehlfm7ezfro6dojzn3ozhzr5odxke3av6e/21.json
22,veJBX-022,Juicebox's Governance Token No. 022,https://gateway.pinata.cloud/ipfs/bafybeicxqi42j6d5bdd5awbxehlfm7ezfro6dojzn3ozhzr5odxke3av6e/22.json
23,veJBX-023,Juicebox's Governance Token No. 023,https://gateway.pinata.cloud/ipfs/bafybeicxqi42j6d5bdd5awbxehlfm7ezfro6dojzn3ozhzr5odxke3av6e/23.json
