Index,File Name,Image Hash,Image URL,CID,Metadata URL ,Metadata CID,Token Tier,Background,Number Background Like Mine,Percent Background Like Mine,Body,Number Body Like Mine,Percent Body Like Mine,Face,Number Face Like Mine,Percent Face Like Mine,Choker,Number Choker Like Mine,Percent Choker Like Mine,Lower_Accessory,Number Lower_Accessory Like Mine,Percent Lower_Accessory Like Mine,Outfit,Number Outfit Like Mine,Percent Outfit Like Mine,Oral_Fixation,Number Oral_Fixation Like Mine,Percent Oral_Fixation Like Mine,Headgear,Number Headgear Like Mine,Percent Headgear Like Mine,Left_Hand,Number Left_Hand Like Mine,Percent Left_Hand Like Mine,Right_Hand,Number Right_Hand Like Mine,Percent Right_Hand Like Mine,Both_Hands,Number Both_Hands Like Mine,Percent Both_Hands Like Mine
1,001.png,87ae6af936f1e7edf2e6374fd4c30cc6ffb262fe35a8a3dbbaba4fa1c4470d6f,https://gateway.pinata.cloud/ipfs/bafybeiajy567mgtktueygiarysfmialm5mutkkub6lrjaokuyfb2yl6s6m/001.png,bafybeiajy567mgtktueygiarysfmialm5mutkkub6lrjaokuyfb2yl6s6m,https://gateway.pinata.cloud/ipfs/bafybeidfwsg6ssb2peyktfznkzubxldzd7d6kdkhvw6z7khhwhhzjbuxuy/1,bafybeidfwsg6ssb2peyktfznkzubxldzd7d6kdkhvw6z7khhwhhzjbuxuy,,10 Days,60,20,Yellow,270,90,Original,260,86.66666666666667,Choker,255,85,Black Shoes,255,85,No Outfit,25,8.333333333333334,Nothing,300,100,No Hat,51,17,Nothing,255,85,Nothing,220,73.33333333333333,Nothing,300,100
2,002.png,d8cd3889723074444c256c3054398f9aba849a1fcc0806e3127d003359ae6fa2,https://gateway.pinata.cloud/ipfs/bafybeiajy567mgtktueygiarysfmialm5mutkkub6lrjaokuyfb2yl6s6m/002.png,bafybeiajy567mgtktueygiarysfmialm5mutkkub6lrjaokuyfb2yl6s6m,https://gateway.pinata.cloud/ipfs/bafybeidfwsg6ssb2peyktfznkzubxldzd7d6kdkhvw6z7khhwhhzjbuxuy/2,bafybeidfwsg6ssb2peyktfznkzubxldzd7d6kdkhvw6z7khhwhhzjbuxuy,,50 Days,60,20,Yellow,270,90,Original,260,86.66666666666667,Choker,255,85,Black Shoes,255,85,No Outfit,25,8.333333333333334,Nothing,300,100,No Hat,51,17,Nothing,255,85,Nothing,220,73.33333333333333,Nothing,300,100
3,003.png,64656358a6d71a82bb7d8d4e3eb47703a1f7700088650f31a74f1173691cebb7,https://gateway.pinata.cloud/ipfs/bafybeiajy567mgtktueygiarysfmialm5mutkkub6lrjaokuyfb2yl6s6m/003.png,bafybeiajy567mgtktueygiarysfmialm5mutkkub6lrjaokuyfb2yl6s6m,https://gateway.pinata.cloud/ipfs/bafybeidfwsg6ssb2peyktfznkzubxldzd7d6kdkhvw6z7khhwhhzjbuxuy/3,bafybeidfwsg6ssb2peyktfznkzubxldzd7d6kdkhvw6z7khhwhhzjbuxuy,,100 Days,60,20,Yellow,270,90,Original,260,86.66666666666667,Choker,255,85,Black Shoes,255,85,No Outfit,25,8.333333333333334,Nothing,300,100,No Hat,51,17,Nothing,255,85,Nothing,220,73.33333333333333,Nothing,300,100
4,004.png,4038ff53aabf30d01431a9a1fabc2aece7cd50de1b1f8a1192e8d0583bd8f72e,https://gateway.pinata.cloud/ipfs/bafybeiajy567mgtktueygiarysfmialm5mutkkub6lrjaokuyfb2yl6s6m/004.png,bafybeiajy567mgtktueygiarysfmialm5mutkkub6lrjaokuyfb2yl6s6m,https://gateway.pinata.cloud/ipfs/bafybeidfwsg6ssb2peyktfznkzubxldzd7d6kdkhvw6z7khhwhhzjbuxuy/4,bafybeidfwsg6ssb2peyktfznkzubxldzd7d6kdkhvw6z7khhwhhzjbuxuy,,500 Days,60,20,Yellow,270,90,Original,260,86.66666666666667,Choker,255,85,Black Shoes,255,85,No Outfit,25,8.333333333333334,Nothing,300,100,No Hat,51,17,Nothing,255,85,Nothing,220,73.33333333333333,Nothing,300,100
5,005.png,037a215c6a80531d27cc7be9006863111d759e648bda70642438c430f2a4799b,https://gateway.pinata.cloud/ipfs/bafybeiajy567mgtktueygiarysfmialm5mutkkub6lrjaokuyfb2yl6s6m/005.png,bafybeiajy567mgtktueygiarysfmialm5mutkkub6lrjaokuyfb2yl6s6m,https://gateway.pinata.cloud/ipfs/bafybeidfwsg6ssb2peyktfznkzubxldzd7d6kdkhvw6z7khhwhhzjbuxuy/5,bafybeidfwsg6ssb2peyktfznkzubxldzd7d6kdkhvw6z7khhwhhzjbuxuy,,1000 Days,60,20,Yellow,270,90,Original,260,86.66666666666667,Choker,255,85,Black Shoes,255,85,No Outfit,25,8.333333333333334,Nothing,300,100,No Hat,51,17,Nothing,255,85,Nothing,220,73.33333333333333,Nothing,300,100
6,006.png,16e689604ce85d96f6675f1da6da3b1e9888fc0585d64fceae12feacb2a5db0e,https://gateway.pinata.cloud/ipfs/bafybeiajy567mgtktueygiarysfmialm5mutkkub6lrjaokuyfb2yl6s6m/006.png,bafybeiajy567mgtktueygiarysfmialm5mutkkub6lrjaokuyfb2yl6s6m,https://gateway.pinata.cloud/ipfs/bafybeidfwsg6ssb2peyktfznkzubxldzd7d6kdkhvw6z7khhwhhzjbuxuy/6,bafybeidfwsg6ssb2peyktfznkzubxldzd7d6kdkhvw6z7khhwhhzjbuxuy,,10 Days,60,20,Yellow,270,90,Original,260,86.66666666666667,Choker,255,85,Black Shoes,255,85,No Outfit,25,8.333333333333334,Nothing,300,100,Clown,5,1.6666666666666667,Nothing,255,85,Lollipop,5,1.6666666666666667,Nothing,300,100
7,007.png,2d21fda5becf975fe783bc88321eb8e59226699eb6fc93ac37f26ca6183669a1,https://gateway.pinata.cloud/ipfs/bafybeiajy567mgtktueygiarysfmialm5mutkkub6lrjaokuyfb2yl6s6m/007.png,bafybeiajy567mgtktueygiarysfmialm5mutkkub6lrjaokuyfb2yl6s6m,https://gateway.pinata.cloud/ipfs/bafybeidfwsg6ssb2peyktfznkzubxldzd7d6kdkhvw6z7khhwhhzjbuxuy/7,bafybeidfwsg6ssb2peyktfznkzubxldzd7d6kdkhvw6z7khhwhhzjbuxuy,,50 Days,60,20,Yellow,270,90,Original,260,86.66666666666667,Choker,255,85,Black Shoes,255,85,No Outfit,25,8.333333333333334,Nothing,300,100,Clown,5,1.6666666666666667,Nothing,255,85,Lollipop,5,1.6666666666666667,Nothing,300,100
8,008.png,d7c536f28faf33676b35fe7f6e03acf18cceeecfcc849414d6b26d15841f094d,https://gateway.pinata.cloud/ipfs/bafybeiajy567mgtktueygiarysfmialm5mutkkub6lrjaokuyfb2yl6s6m/008.png,bafybeiajy567mgtktueygiarysfmialm5mutkkub6lrjaokuyfb2yl6s6m,https://gateway.pinata.cloud/ipfs/bafybeidfwsg6ssb2peyktfznkzubxldzd7d6kdkhvw6z7khhwhhzjbuxuy/8,bafybeidfwsg6ssb2peyktfznkzubxldzd7d6kdkhvw6z7khhwhhzjbuxuy,,100 Days,60,20,Yellow,270,90,Original,260,86.66666666666667,Choker,255,85,Black Shoes,255,85,No Outfit,25,8.333333333333334,Nothing,300,100,Clown,5,1.6666666666666667,Nothing,255,85,Lollipop,5,1.6666666666666667,Nothing,300,100
9,009.png,480d99d43621911217ee54de5e0fa2b6e94a10b55871acd80ced484ca355596e,https://gateway.pinata.cloud/ipfs/bafybeiajy567mgtktueygiarysfmialm5mutkkub6lrjaokuyfb2yl6s6m/009.png,bafybeiajy567mgtktueygiarysfmialm5mutkkub6lrjaokuyfb2yl6s6m,https://gateway.pinata.cloud/ipfs/bafybeidfwsg6ssb2peyktfznkzubxldzd7d6kdkhvw6z7khhwhhzjbuxuy/9,bafybeidfwsg6ssb2peyktfznkzubxldzd7d6kdkhvw6z7khhwhhzjbuxuy,,500 Days,60,20,Yellow,270,90,Original,260,86.66666666666667,Choker,255,85,Black Shoes,255,85,No Outfit,25,8.333333333333334,Nothing,300,100,Clown,5,1.6666666666666667,Nothing,255,85,Lollipop,5,1.6666666666666667,Nothing,300,100
10,010.png,38d65e0d57eea9113390f24c4dd6a98bf1c2e30b127b2abf29724f5e34a35f34,https://gateway.pinata.cloud/ipfs/bafybeiajy567mgtktueygiarysfmialm5mutkkub6lrjaokuyfb2yl6s6m/010.png,bafybeiajy567mgtktueygiarysfmialm5mutkkub6lrjaokuyfb2yl6s6m,https://gateway.pinata.cloud/ipfs/bafybeidfwsg6ssb2peyktfznkzubxldzd7d6kdkhvw6z7khhwhhzjbuxuy/10,bafybeidfwsg6ssb2peyktfznkzubxldzd7d6kdkhvw6z7khhwhhzjbuxuy,,1000 Days,60,20,Yellow,270,90,Original,260,86.66666666666667,Choker,255,85,Black Shoes,255,85,No Outfit,25,8.333333333333334,Nothing,300,100,Clown,5,1.6666666666666667,Nothing,255,85,Lollipop,5,1.6666666666666667,Nothing,300,100
