Bucket,Banny Name,$JBX Range,Range width,Arcana,Comms ,Grind ,Perception,Strength,Shadowiness,History,Motto
1,Nammu,1-99,99,5,0,0,4,0,5,"The Banny that started it all. The one. The only. The magnificent, majestic and magnanimous. The OG Banny. All Bannies take some part from illustrious existence. Many Bannies tell tales of a vague, distant memory— some ascribe it to pure chance, others to the supernatural. Then yet other will tell you that OG Banny is bound to come into the world, in full, fleshy banana form. Others say he has come back many times, sometimes as an apple, other times as an orange. And yet others say he is yet to come, and when he comes, existence as we know it will change. And then there’s those who say that he’s far more than any of that: he’s a historical whisper, lost for generations and whose echo reverberates around the lore he inspired. An OG, if ever there was one.","In the beginning, there was OG Banny."
2,Farceur,100-199,100,2,4,1,2,1,0,"A ostensibly jovial banana if ever there was one, Farceur is stuffed from end to end with silly laughs and slapstick goodness. He’s a proverbial wild-card that you can always count on to get a laugh or shock his eager audience. But something about his expression as of late seems a bit troubling— a certain ennui in the eyes that suggests he, a banana who gives all his joy for others to be entertained, may have nobody to bring joy to him. A sad clown he is not— at least, not yet. They say here and there and everywhere, across all the lands, that Farceur can make anyone laugh at will. Indeed, one day a banana sat forlorn in a confessional and, being at his wits end, confided that he was in desperate straits, and felt like there was not joy in the world. “I’m sorry you feel this way,” the father told him, “I hear that Farceur is in town, and he can make any banana laugh. Please go see his show. He will help you.” “But father,” the banana cried in anguish, “I am Farceur!”",You do not yet understand the stage. How could you possibly understand life?
3,Bronson,200-299,100,0,4,4,2,3,0,"Whether you want some fresh hummus, or a nice gyro with a side of sweet potato fries, or even just one of your enemies dismembered by a psycho with a meat cleaver who can also keep rhythm on the beat, Bronson is your banana. Cuddly and unassuming at first glance, he’ll turn up the charm if you’re been nice, and the violence if you’ve been naughty. He runs a tight ship on any kitchen, and he likes to bring the pain when he needs to. Some say the meals he makes can put any man in good spirits. He’s always wanted to cook for Farceur, who he heard was down in the dumps, but so far he’s never had a chance. Will that change in the future?",We makin’ enemies or we makin’ kafta over here?
4,Johnny Utah,300-399,100,0,3,4,1,0,0,We makin’ enemies or we makin’ kafta over here?,I’m just an ordinary banana who likes to surf. Nothing to see here.
5,Musa,400-499,100,0,2,5,2,4,1,"Sweet in nature and with a proven track record of tilling fields and reaping what he sows, Farmer Banny is popular and good-natured, and oddly attractive for apes of all species. He knows how to keep his head down and put in a good bit of elbow grease to get the job done. He’s so consistent, in fact, that one may wonder if there isn’t a second life he may be hiding. After all, who can be so put-together?",You reap what you sow.
6,Primrose ,500-599,100,1,4,2,4,1,0,"Primrose is an absolute delight of a Banny if ever there was one. She’s covered in a double-coat of skin and clothing, and when her personality blooms, a fragrant waft of gentle sweetness fills the air. Not unlike a budding flower, Primrose shows the colors of her personality to attract friends and foes alike. But beware— they say she has no thorns, but that may just be because she’s so good at hiding them.",Not all thorns have roses.
7,Princess Peach Toadstool,600-699,100,1,5,3,3,2,0,"Ostensibly always in need of rescuing, Peach has a habit of finding herself in situations that can seem a bit overwhelming. But notice— each situation is met with a hero to save her, willing to die for her. One rescue we may chalk up to unexpected trauma. Two rescues? Bad luck, to be sure. But dozens? What in her personality is bringing about these constant kidnappings? Could it be that she’s just so sweet that no kidnapper can stay away? Or is her saccharine bubbly beauty nothing more than a honey pot, the mechanisms of which we have yet to figured out?",Help meeeee!
8,Rose Bertin,700-799,100,0,4,4,2,2,0,"Nobody has an eye for style like Rose, the most fashion-conscious Banny. Whether strapless, trapeze or princess, there isn’t a type of dress she can’t design with the utmost care and skill. Her artistry and unmatched skill means she is in demand by only the most powerful Bannies in the universe, where she also crafts find hats and serves as an advisor to the powers that be. The hats she makes have crowned royalty, but don’t get it twisted— when the going gets tough, Rose knows how to get out of dodge. When the hammer falls, it’s not Rose’s head that gets smashed to bits— but whoever’s it is may just be wearing one of her hats.",Rulers are charming marionettes.
9,Banmora ,800-899,100,4,4,3,2,4,4,"Banmora only knows how to go at breakneck speeds: being the last of your kind will do that to you. Whether she’s ultimately on the side of truth or deception is of no consequence— she will bring the full power of her skills to the battlefield either way. Always good at keeping a Zen-like attitude in the heat of danger, she longs for little more than finding a silver companion to spend eternity with. But with so much hostility in the world and not enough Bannies to fight, how will she ever get the time to do that? Sometimes she feels like she’s fighting infinity wars.",Throw your life away for justice.
10,Banny Ipkiss,900-999,1000,4,4,2,1,2,0,"You never quite know what you’re getting with this Banny. Sometimes he can be mild mannered, almost meek— unremarkable in the truest sense of the word. But just when you think you’ve got him pegged, another side emerges— a zany side that’s as irreverent as it is violent. A bank teller by day who likes to spend evenings at the Copacabana beating up thugs and gangsters, one could say he’s amongst the most interesting of the Bannies out there. Just hope you don’t meet him on a bad night.",It’s t-t-t-token’!
